Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW1,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,111.029,-49.084,180,top
SW2,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,81.029,-49.084,180,top
SW3,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,51.981,-56.5841,180,top
SW4,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,51.981,-86.5841,180,top
SW5,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,81.029,-79.0841,180,top
SW6,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,111.029,-79.0841,180,top
SW7,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,137.01,-64.0841,180,top
SW8,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,136.997,-94.0651,180,top
SW9,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,119.772,-118.6277,180,top
SW10,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,150,-131.9159,180,top
SW11,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,182.8504,-128.8969,180,top
SW12,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,162.977,-79.0651,180,top
SW13,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,188.9581,-94.0651,180,top
SW14,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,218.9581,-94.0651,180,top
SW15,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,248.0185,-101.5841,180,top
SW16,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,188.9711,-64.0841,180,top
SW17,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,218.9711,-64.0841,180,top
SW18,SW_DIP_x01,SW_Hotswap_Kailh_Choc_V1V2,248.0185,-71.5841,180,top
C1,100n,C_0402_1005Metric,161.0144,-41.5392,90,top
C2,100n,C_0402_1005Metric,164.11155,-53.15005,-90,top
C3,1u,C_0402_1005Metric,165.0022,-41.5392,90,top
C4,1u,C_0402_1005Metric,165.9928,-41.5392,90,top
C5,100n,C_0402_1005Metric,162.005,-41.5392,90,top
C6,100n,C_0402_1005Metric,157.052,-44.9408,180,top
C7,100n,C_0402_1005Metric,167.513,-48.9204,0,top
C8,100n,C_0402_1005Metric,157.052,-48.7508,180,top
C9,100n,C_0402_1005Metric,163.09555,-53.15005,-90,top
C10,100n,C_0402_1005Metric,167.593,-44.8646,0,top
C11,100n,C_0402_1005Metric,167.593,-43.874,0,top
C12,10u,C_0805_2012Metric,169.4472,-35.1618,90,top
C14,10u,C_0805_2012Metric,168.355,-42.3246,0,top
C15,15p,C_0402_1005Metric,160.735,-54.6202,0,top
C16,15p,C_0402_1005Metric,163.0972,-54.62325,180,top
C17,1u,C_0402_1005Metric,160.7096,-38.5166,90,top
C18,1u,C_0402_1005Metric,252.8316,-46.0106,-90,top
C19,1u,C_0402_1005Metric,251.6886,-45.9852,-90,top
C20,1u,C_0402_1005Metric,249.5042,-45.9852,-90,top
C21,1u,C_0402_1005Metric,250.5202,-45.9852,-90,top
C22,4.7u,C_0805_2012Metric,241.1222,-45.2232,-90,top
C23,2.2u,C_0805_2012Metric,239.0394,-45.2232,-90,top
J1,USB-C,USB_C_Receptacle_XKB_U262-16XN-4BVC11,162.9938,-32.1138,180,top
J2,OLED,FPC-SMD_30P-P0.50_HDGC_0.5K-BS-30PWB,246.009,-49.04,0,top
J3,USB-A,USB-A-SMD_USB-M-21,188.4022,-34.866284,180,top
R1,1k,R_0402_1005Metric,162.05415,-53.15005,90,top
R2,1k,R_0402_1005Metric,153.4198,-36.6604,0,top
R3,22,R_0402_1005Metric,164.0116,-41.5372,-90,top
R4,22,R_0402_1005Metric,162.9956,-41.5372,-90,top
R5,5.1k,R_0402_1005Metric,156.6456,-32.5456,180,top
R6,5.1k,R_0402_1005Metric,156.6456,-33.587,180,top
R7,4.7k,R_0402_1005Metric,167.4622,-51.4604,0,top
R8,4.7k,R_0402_1005Metric,168.2242,-52.5272,0,top
R9,330k,R_0402_1005Metric,242.6716,-45.9852,-90,top
R10,22,R_0402_1005Metric,167.5364,-47.879,180,top
R11,22,R_0402_1005Metric,167.5364,-46.8122,180,top
R12,10k,R_0402_1005Metric,155.3502,-36.6604,0,top
SW19,SW_SPDT,SW-SMD_SS-1290,255.54,-30.8288,0,top
SW20,SW_SPDT,SW-SMD_SS-1290,236.49,-30.8288,0,top
SW21,SW_Push,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,148.1112,-37.7272,0,top
U1,RP2040,RP2040-QFN-56,162.29965,-47.74945,0,top
U2,AP2112K-3.3,SOT-23-5,168.3691,-39.175,-90,top
U3,W25Q16JVSNIQ,SOIC-8_3.9x4.9mm_P1.27mm,156.4058,-39.937,0,top
U4,USBLC6-2P6,SOT-666,163.5036,-38.4744,-90,top
U5,USBLC6-2P6,SOT-666,188.3918,-42.174584,-90,top
Y1,X322512MOB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,161.9151,-56.866,0,top
